#,Business name,Type,Area,Phone,Website,Channel,Owner name,Status,Date contacted,Follow-up date,Loom sent,Trial start,Notes
1,,Barber,Shoreditch,,,In person,,Not started,,,,,
2,,Hair salon,Hackney,,,Email,,Not started,,,,,
3,,Dental clinic,Islington,,,Email,,Not started,,,,,
4,,Aesthetics/beauty clinic,Shoreditch,,,WhatsApp,,Not started,,,,,
5,,Physio,Dalston,,,Email,,Not started,,,,,
6,,Restaurant,Hackney,,,In person,,Not started,,,,,
7,,Takeaway,Bethnal Green,,,WhatsApp,,Not started,,,,,
8,,Plumber,Hackney,,,Email,,Not started,,,,,
9,,Electrician,Islington,,,Email,,Not started,,,,,
10,,Driving instructor,Hackney,,,WhatsApp,,Not started,,,,,
11,,Estate/letting agent,Shoreditch,,,Email,,Not started,,,,,
12,,Nail salon,Dalston,,,In person,,Not started,,,,,
13,,Tattoo studio,Shoreditch,,,WhatsApp,,Not started,,,,,
14,,Private GP,Islington,,,Email,,Not started,,,,,
15,,Vet,Hackney,,,Email,,Not started,,,,,
16,,Garage/MOT,Bethnal Green,,,In person,,Not started,,,,,
17,,Cafe,Hackney,,,In person,,Not started,,,,,
18,,Cleaning service,Islington,,,Email,,Not started,,,,,
19,,Personal trainer/gym,Shoreditch,,,WhatsApp,,Not started,,,,,
20,,Locksmith,Hackney,,,Email,,Not started,,,,,
