Business,Trade,Area,Stars,#Reviews,Phone/WhatsApp,Website,Instagram,hard-to-reach review?,Best channel,Contact verified?,Notes
Mike Griffin Heating & Plumbing,Plumber,Barnet,VERIFY,VERIFY,07973 288275,,,N,Phone → WhatsApp,✅,153 Church Hill Road EN4 8PQ. 40+ yrs exp. Mobile=owner. Email: griffingas@aol.com
Plumbers N1,Plumber,Islington/Hackney,VERIFY,VERIFY,020 7166 7835,,,N,Phone → WhatsApp,✅,23 Purcell Street N1 6RD
Thames Plumbers,Plumber,Tower Hamlets,VERIFY,VERIFY,020 3369 6120,,,N,Phone → WhatsApp,✅,45 Ironmongers Place E14 9YD
Hackney Plumbers 247,Plumber,Hackney,VERIFY,VERIFY,020 3886 2017,,,N,Phone → WhatsApp,✅,280 Mare Street E8 1HE. 24/7 service
Plumb Job,Plumber,Hackney,VERIFY,VERIFY,020 8533 9986,,,N,Phone → WhatsApp,✅,299c Victoria Park Road E9 5DY. Small flat-above-shop
Islington Plumber Electrician Builder,Plumber/Electrician,Islington,VERIFY,VERIFY,020 3940 7197,,,N,Phone → WhatsApp,✅,2 Angel Square EC1V 1NY. Multi-trade
Das Is Good,Plumber,Tower Hamlets,VERIFY,VERIFY,07956 225767,,,N,Phone → WhatsApp,✅,22 Bartlett Close E14 6LH. Mobile=owner
Expert Plumbers,Plumber,Islington,VERIFY,VERIFY,020 8166 9723,,,N,Phone → WhatsApp,✅,25b Underwood Street N1 7LG. Maisonette=flat
Elite Plumbing Heating & Gas Services,Plumber/HVAC,Hackney,VERIFY,VERIFY,07956 309910,,,N,Phone → WhatsApp,✅,12 Osterley Road N16 8SN. Mobile=owner
Alan & Allan Plumbing,Plumber,Islington,VERIFY,VERIFY,07966 386444,,,N,Phone → WhatsApp,✅,18 Claremont Square N1 9LX. Mobile=owner
Mayfair Plumbers,Plumber,Islington,VERIFY,VERIFY,020 3633 1526,,,N,Phone → WhatsApp,✅,13 Mersey House Liverpool Road N7 8QE. Residential block
Argas Plumbing & Heating,Plumber/HVAC,Haringey,VERIFY,VERIFY,07813 772001,,,N,Phone → WhatsApp,✅,3 Finsbury Park Avenue N4 1DQ. Mobile=owner
E 8 Plumbers,Plumber,Hackney,VERIFY,VERIFY,07772 923026,,,N,Phone → WhatsApp,✅,304b Queensbridge Road E8 3NH. Mobile=owner
Rapid Response Plumbing & Heating,Plumber/HVAC,Hackney,VERIFY,VERIFY,07888 078885,,,N,Phone → WhatsApp,✅,16 Lea Bridge Road E5 9QD. Mobile=owner
Islington Plumb-it 24hr Services,Plumber,Islington,VERIFY,VERIFY,07946 492112,,,N,Phone → WhatsApp,✅,26 Laycock Street N1 1AH. Mobile=owner. 24hr
Eastend Plumbers,Plumber,Hackney,VERIFY,VERIFY,020 8611 2591,,,N,Phone → WhatsApp,✅,8 Bodney Road E8 1AY
Camden Plumber Electrician,Plumber/Electrician,Camden,VERIFY,VERIFY,07456 237913,,,N,Phone → WhatsApp,✅,Flat 4 Fairdene Court N7 0LH. Mobile+flat=owner
Chris Tate Plumbing & Heating,Plumber/HVAC,Islington,VERIFY,VERIFY,020 7263 7608,,,N,Phone → WhatsApp,✅,78 Kingsdown Road N19 4LW
A S A P Plumbers,Plumber,Islington,VERIFY,VERIFY,020 3441 6626,,,N,Phone → WhatsApp,✅,Unit 4 Bespoke Spaces N19 4DR. Small outfit
Advanced Professional Plumbing & Heating Ltd,Plumber/HVAC,Islington,VERIFY,VERIFY,020 7166 7835,,,N,Phone → WhatsApp,✅,Mica Street N1 1RN. Ltd but local
A P S Plumbing Heating & Gas,Plumber/HVAC,Bow,VERIFY,VERIFY,07545 814605,,,N,Phone → WhatsApp,✅,Attic Business Centre E3 2TB. Mobile=owner
Paul Roberts Plumbing & Heating,Plumber/HVAC,Haringey,VERIFY,VERIFY,020 8348 6096,,,N,Phone → WhatsApp,✅,5 Russell Road N8 8HN
24-7 Emergency Plumbing,Plumber,Islington,VERIFY,VERIFY,07471 875251,,,N,Phone → WhatsApp,✅,3 Windermere Road N19 5SG. Mobile=owner
Thomas Stanley,Plumber,Islington,VERIFY,VERIFY,07505 215755,,,N,Phone → WhatsApp,✅,59 Brunswick Court EC1V 0ER. Mobile+flat=owner
Angel Plumbing Services Ltd,Plumber,Islington,VERIFY,VERIFY,020 7251 3418,,,N,Phone → WhatsApp,✅,177 Goswell Road EC1V 7HJ
Camden Plumbers 247,Plumber,Camden,VERIFY,VERIFY,020 3886 2276,,,N,Phone → WhatsApp,✅,102 St. Pancras Way NW1 9ND. 24/7
Tedrex Ltd,Plumber,Islington,VERIFY,VERIFY,07861 770008,,,N,Phone → WhatsApp,✅,30b Mildmay Road N1 4NG. Mobile+flat=owner
Your Local Plumber,Plumber,Islington,VERIFY,VERIFY,07580 365247,,,N,Phone → WhatsApp,✅,Unit 301 N1 7AA. Mobile=owner
G S Plumbing & Heating Ltd,Plumber/HVAC,Hackney,VERIFY,VERIFY,07838 020573,,,N,Phone → WhatsApp,✅,Flat 113 Biggs Square E9 5DT. Mobile+flat=owner
Emergency General Plumber & Electrician,Plumber/Electrician,Hackney,VERIFY,VERIFY,020 3940 7203,,,N,Phone → WhatsApp,✅,6 Hackney Road E2 7NS. Multi-trade
