ID,Business,Trade,Area,Phone,Email,Address,Notes
1,"Mike Griffin Heating & Plumbing","Plumber/HVAC","Barnet","07973 288275","griffingas@aol.com","153 Church Hill Road EN4","40+ yrs exp. Mobile=owner"
2,"Plumbers N1","Plumber","Islington/Hackney","020 7166 7835","","23 Purcell Street N1",""
3,"Thames Plumbers","Plumber","Tower Hamlets","020 3369 6120","","45 Ironmongers Place E14",""
4,"Hackney Plumbers 247","Plumber","Hackney","020 3886 2017","","280 Mare Street E8","24/7 service"
5,"Plumb Job","Plumber","Hackney","020 8533 9986","","299c Victoria Park Road E9","Flat-above-shop"
6,"Islington Plumber Electrician Builder","Plumber/Electrician","Islington","020 3940 7197","","2 Angel Square EC1V","Multi-trade"
7,"Das Is Good","Plumber","Tower Hamlets","07956 225767","","22 Bartlett Close E14","Mobile=owner"
8,"Expert Plumbers","Plumber","Islington","020 8166 9723","","25b Underwood Street N1","Maisonette=flat"
9,"Elite Plumbing Heating & Gas Services","Plumber/HVAC","Hackney","07956 309910","","12 Osterley Road N16","Mobile=owner"
10,"Alan & Allan Plumbing","Plumber","Islington","07966 386444","","18 Claremont Square N1","Mobile=owner"
11,"Mayfair Plumbers","Plumber","Islington","020 3633 1526","","13 Mersey House Liverpool Road N7","Residential block"
12,"Argas Plumbing & Heating","Plumber/HVAC","Haringey","07813 772001","","3 Finsbury Park Avenue N4","Mobile=owner"
13,"E 8 Plumbers","Plumber","Hackney","07772 923026","","304b Queensbridge Road E8","Mobile=owner"
14,"Rapid Response Plumbing & Heating","Plumber/HVAC","Hackney","07888 078885","","16 Lea Bridge Road E5","Mobile=owner"
15,"Islington Plumb-it 24hr Services","Plumber","Islington","07946 492112","","26 Laycock Street N1","Mobile=owner. 24hr"
16,"Eastend Plumbers","Plumber","Hackney","020 8611 2591","","8 Bodney Road E8",""
17,"Camden Plumber Electrician","Plumber/Electrician","Camden","07456 237913","","Flat 4 Fairdene Court N7","Mobile+flat=owner"
18,"Chris Tate Plumbing & Heating","Plumber/HVAC","Islington","020 7263 7608","","78 Kingsdown Road N19",""
